LocationCode,RegionCode,BldgAddress1,BldgAddress2,BldgCity,BldgCounty,BldgState,BldgZip,CongressionalDistrict,BldgStatus,PropertyType,BldgANSIUsable,TotalParkingSpaces,OwnedLeased,ConstructionDate,HistoricalType,HistoricalStatus,ABAAccessibilityFlag
CT0013,1,135 HIGH ST, ,HARTFORD,HARTFORD,CT,61031125,1,ACTIVE,BUILDING,97884,29,OWNED,1-Jan-33,Field Not In Use,National Register Listed,Will Conform
CT0024,1,141 CHURCH ST,U.S. COURTHOUSE,NEW HAVEN,NEW HAVEN,CT,65102001,3,ACTIVE,BUILDING,69037,0,OWNED,1-Jan-19,Field Not In Use,National Register Listed,Will Conform
CT0047,1,135 GRAND ST, ,WATERBURY,NEW HAVEN,CT,67029998,5,ACTIVE,BUILDING,7442,2,LEASED,1-Jan-33,Field Not In Use,National Register Listed,Will Conform
CT0049,1,919 MAIN STREET, ,WILLIMANTIC,WINDHAM,CT,62269998,2,ACTIVE,BUILDING,198,0,LEASED,1-Jan-11,Field Not In Use,Not Evaluated,Will Conform
CT0053,1,450 MAIN ST, ,HARTFORD,HARTFORD,CT,61033022,1,ACTIVE,BUILDING,203358,103,OWNED,1-Jan-63,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,1,915 LAFAYETTE BLVD, ,BRIDGEPORT,FAIRFIELD,CT,66044706,4,ACTIVE,BUILDING,86475,131,OWNED,1-Jan-67,Field Not In Use,Not Evaluated,Will Conform
CT0060,1,LITCHFIELD ST, ,TORRINGTON,LITCHFIELD,CT,67906407,5,ACTIVE,BUILDING,5052,5,OWNED,1-Jan-69,Field Not In Use,Not Evaluated,Will Conform
CT0061,1,150 COURT ST, ,NEW HAVEN,NEW HAVEN,CT,65102022,3,ACTIVE,BUILDING,83741,74,OWNED,1-Jan-77,Field Not In Use,Not Evaluated,Will Conform
CT3316,1,130 DARLIN ST, ,EAST HARTFORD,HARTFORD,CT,61083234,1,ACTIVE,BUILDING,34889,159,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3319,1,101 BROAD ST, ,STAMFORD,FAIRFIELD,CT,69012797,4,ACTIVE,BUILDING,5020,8,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3322,1,425 MAIN STREET, ,MIDDLETOWN,MIDDLESEX,CT,64573347,3,ACTIVE,BUILDING,5045,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3323,1,333 E RIVER DR, ,EAST HARTFORD,HARTFORD,CT,61084200,1,ACTIVE,BUILDING,16418,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3326,1,55 WHITNEY AVE, ,NEW HAVEN,NEW HAVEN,CT,65101300,3,ACTIVE,BUILDING,3293,5,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3331,1,157 CHURCH ST, ,NEW HAVEN,NEW HAVEN,CT,65102100,3,ACTIVE,BUILDING,96834,44,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3341,1,265 CHURCH ST, ,NEW HAVEN,NEW HAVEN,CT,65107013,3,ACTIVE,BUILDING,16070,26,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
