LocationCode,RegionCode,BldgAddress1,BldgAddress2,BldgCity,BldgCounty,BldgState,BldgZip,CongressionalDistrict,BldgStatus,PropertyType,BldgANSIUsable,TotalParkingSpaces,OwnedLeased,ConstructionDate,HistoricalType,HistoricalStatus,ABAAccessibilityFlag
CT3351,1,628 Hebron Ave,BUILDING 2,GLASTONBURY,HARTFORD,CT,60332411,1,ACTIVE,BUILDING,7000,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3354,1,530 PRESTON AVENUE, ,MERIDEN,NEW HAVEN,CT,64504893,5,ACTIVE,BUILDING,11670,39,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3358,1,2 SHAW'S COVE, ,NEW LONDON,NEW LONDON,CT,63204975,2,ACTIVE,BUILDING,6306,28,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3360,1,1000 LAFAYETTE BLVD,10TH FLOOR,BRIDGEPORT,FAIRFIELD,CT,66044725,4,ACTIVE,BUILDING,31055,100,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3362,1,213 COURT ST, ,MIDDLETOWN,MIDDLESEX,CT,64573346,3,ACTIVE,BUILDING,1950,11,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3363,1,904 POQUONNOCK RD, ,GROTON,NEW LONDON,CT,63404259,2,ACTIVE,BUILDING,1507,4,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3369,1,20 Church St, ,HARTFORD,HARTFORD,CT,61031221,1,ACTIVE,BUILDING,21432,9,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3373,1,101 PITKIN ST, ,EAST HARTFORD,HARTFORD,CT,61083316,1,ACTIVE,BUILDING,12906,28,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3375,1,600 STATE STREET, ,NEW HAVEN,NEW HAVEN,CT,65116505,3,ACTIVE,BUILDING,78826,220,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3376,1,131 WEST ST, ,DANBURY,FAIRFIELD,CT,68106376,5,ACTIVE,BUILDING,8439,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3389,1,344 MERROW RD, ,TOLLAND,TOLLAND,CT,60843917,2,ACTIVE,BUILDING,13995,52,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3393,1,10 COLUMBUS BLVD, ,HARTFORD,HARTFORD,CT,61061976,1,ACTIVE,BUILDING,5198,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3395,1,334 ELLA GRASSO TURNPIKE, ,WINDSOR LOCKS,HARTFORD,CT,60961042,1,ACTIVE,BUILDING,11825,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3398,1,1320 MAIN ST, ,WILLIMANTIC,WINDHAM,CT,62261940,2,ACTIVE,BUILDING,6065,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3400,1,5 SHAWS CV,Suite 206,NEW LONDON,NEW LONDON,CT,63204974,2,ACTIVE,BUILDING,1137,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3402,1,1 CHELSEA ST, ,NEW LONDON,NEW LONDON,CT,63205506,2,ACTIVE,BUILDING,47200,164,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3403,1,960 MAIN ST, ,HARTFORD,HARTFORD,CT,61031224,1,ACTIVE,BUILDING,22050,10,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3408,1,6 ARMSTRONG RD, ,SHELTON,FAIRFIELD,CT,64844722,4,ACTIVE,BUILDING,14392,62,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3409,1,TWEED AIRPORT, ,NEW HAVEN,NEW HAVEN,CT,65123907,3,ACTIVE,BUILDING,459,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3410,1,36 BUFF CAP ROAD, ,TOLLAND,TOLLAND,CT,60842604,2,ACTIVE,BUILDING,1004,3,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3412,1,21 OAK ST, ,HARTFORD,HARTFORD,CT,61068003,1,ACTIVE,BUILDING,5303,17,LEASED,25-Jun-09,Field Not In Use,Not Evaluated,Yes
CT3413,1,15 MARNE STREET, ,HAMDEN,NEW HAVEN,CT,65143610,3,ACTIVE,BUILDING,27394,15,LEASED,1-Apr-09,Field Not In Use,Not Evaluated,Yes
CT3414,1,2 UNION PLAZA, ,NEW LONDON,NEW LONDON,CT,63206313,2,ACTIVE,BUILDING,6266,6,LEASED,1-Feb-08,Field Not In Use,Not Evaluated,Yes
CT3416,1,716 BROOK STREET, ,ROCKY HILL,HARTFORD,CT,60673433,1,ACTIVE,BUILDING,13705,32,LEASED,1-Oct-09,Field Not In Use,Not Evaluated,Yes
CT3418,1,55 CHURCH STREET, ,NEW HAVEN,NEW HAVEN,CT,65103014,3,ACTIVE,BUILDING,11162,28,LEASED,1-Sep-09,Field Not In Use,Not Evaluated,Yes
CT3420,1,233 MAIN STREET, ,NEW BRITAIN,HARTFORD,CT,60514204,5,ACTIVE,BUILDING,8177,24,LEASED,13-Jun-08,Field Not In Use,Not Evaluated,Yes
CT3421,1,888 WASHINGTON STREET, ,STAMFORD,FAIRFIELD,CT,69012902,4,ACTIVE,BUILDING,1380,6,LEASED,19-Mar-09,Field Not In Use,Not Evaluated,Yes
CT3425,1,474-484 BURNSIDE AVENUE, ,EAST HARTFORD,HARTFORD,CT,60742406,1,ACTIVE,BUILDING,6314,1,LEASED,25-Jun-09,Field Not In Use,Not Evaluated,No
CT3429,1,475 MAIN ST, ,ANSONIA,NEW HAVEN,CT,64012307,3,ACTIVE,BUILDING,4048,19,LEASED,1-Jul-00,Field Not In Use,Not Evaluated,Yes
CT3433,1,97 BARNES RD, ,WALLINGFORD,NEW HAVEN,CT,64921885,3,ACTIVE,BUILDING,4217,31,LEASED,1-May-85,Field Not In Use,Not Evaluated,Will Conform
CT3435,1,291 S LAMBERT RD, ,ORANGE,NEW HAVEN,CT,64773559,3,ACTIVE,BUILDING,3961,25,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3437,1,43 CAPITAL DR, ,WALLINGFORD,NEW HAVEN,CT,64925818,3,ACTIVE,BUILDING,3850,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3438,1,761 MAIN AVE, ,NORWALK,FAIRFIELD,CT,68511080,4,ACTIVE,BUILDING,18405,6,LEASED,9-Jun-10,Field Not In Use,Not Evaluated,Yes
CT3440,1,107 MILL PLAIN RD, ,DANBURY,FAIRFIELD,CT,68116100,5,ACTIVE,BUILDING,432,1,LEASED,1-May-80,Field Not In Use,Not Evaluated,Yes
CT3441,1,51 N ELM ST, ,WATERBURY,NEW HAVEN,CT,67021511,5,ACTIVE,BUILDING,8648,36,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3444,1,280 TRUMBULL ST, ,HARTFORD,HARTFORD,CT,61033509,1,ACTIVE,BUILDING,4655,2,LEASED,0,Field Not In Use,Evaluated - Not Historic,Yes
CT3446,1,850 CANAL ST, ,STAMFORD,FAIRFIELD,CT,69026943,4,ACTIVE,BUILDING,19265,40,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3448,1,15 THAMES ST, ,GROTON,NEW LONDON,CT,63403629,2,ACTIVE,BUILDING,2237,10,LEASED,0,None,Not Evaluated,Yes
CT3450,1,35 COURTLAND ST, ,BRIDGEPORT,FAIRFIELD,CT,66043928,4,ACTIVE,BUILDING,11556,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3451,1,55 MAIN ST, ,NORWICH,NEW LONDON,CT,63605703,2,ACTIVE,BUILDING,5375,14,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3452,1,111 EAST AVE, ,NORWALK,FAIRFIELD,CT,68515014,4,ACTIVE,BUILDING,850,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
CT3453,1,Bradley Field,Terminal A Ground Floor,WINDSOR LOCKS,HARTFORD,CT,6096,1,ACTIVE,BUILDING,6322,0,LEASED,0,None,Not Evaluated,Yes
CT3457,1,321 Research Parkway, ,MERIDEN,NEW HAVEN,CT,6450, ,ACTIVE,BUILDING,4968,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
CT3458,1,380 Sheldon St, ,HARTFORD,HARTFORD,CT,61061939,1,ACTIVE,LAND,0,10,LEASED,0,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0011,1,408 ATLANTIC AV, ,BOSTON,SUFFOLK,MA,21103349,8,ACTIVE,BUILDING,92762,3,OWNED,1-Jan-18,Field Not In Use,Evaluated - Not Historic,Yes
MA0013,1,5 POST OFFICE SQUARE, ,BOSTON,SUFFOLK,MA,21093901,8,ACTIVE,BUILDING,401504,32,OWNED,1-Jan-33,Field Not In Use,National Register Listed,Will Conform
MA0050,1,1 COURTHOUSE WAY,BOSTON,BOSTON,SUFFOLK,MA,22103002,8,ACTIVE,BUILDING,562620,69,OWNED,1-Sep-98,Field Not In Use,Not Evaluated,Will Conform
MA0051,1,300 STATE ST, ,SPRINGFIELD,HAMPDEN,MA,11051686,1,ACTIVE,BUILDING,80248,86,OWNED,1-Aug-08,Field Not In Use,Not Evaluated,Will Conform
MA0076,1,37 NORTH SECOND STREET, ,NEW BEDFORD,BRISTOL,MA,27406329,9,ACTIVE,BUILDING,3745,7,OWNED,01-Jan-1836,Field Not In Use,National Historic Landmark,Will Conform
MA0113,1,595 MAIN ST, ,WORCESTER,WORCESTER,MA,16082093,2,ACTIVE,BUILDING,62795,4,OWNED,1-Jan-32,Field Not In Use,National Register Listed,Will Conform
MA0129,1,881 MAIN STREET, ,FITCHBURG,WORCESTER,MA,14203007,3,ACTIVE,BUILDING,58860,201,OWNED,1-Jan-73,Field Not In Use,Not Evaluated,Will Conform
MA0131,1,15 NEW SUDBURY STREET, ,BOSTON,SUFFOLK,MA,22030002,8,ACTIVE,BUILDING,620061,257,OWNED,1-Jan-66,Field Not In Use,National Register Eligible,Yes
MA0135,1,400 NORTH MAIN STREET, ,FALL RIVER,BRISTOL,MA,27202131,4,ACTIVE,BUILDING,6984,50,OWNED,1-Jan-69,Field Not In Use,Not Evaluated,Will Conform
MA0136,1,380 TRAPELO RD,FED CTR,WALTHAM,MIDDLESEX,MA,24526322,5,ACTIVE,BUILDING,129115,0,OWNED,1-Jan-66,Field Not In Use,Not Evaluated,Yes
MA0137,1,1 LOWELL ST, ,ANDOVER,ESSEX,MA,18102927,3,ACTIVE,BUILDING,323741,1688,OWNED,1-Jan-66,Field Not In Use,Not Evaluated,Will Conform
MA0138,1,367 Main St, ,HAVERHILL,ESSEX,MA,18304091,3,ACTIVE,BUILDING,5080,20,OWNED,1-Jan-73,Field Not In Use,Not Evaluated,Yes
MA0153,1,10 CAUSEWAY ST, ,BOSTON,SUFFOLK,MA,22221048,8,ACTIVE,BUILDING,522600,267,OWNED,30-Jun-86,Field Not In Use,Not Evaluated,Yes
MA0158,1,53 NORTH SIXTH STREET, ,NEW BEDFORD,BRISTOL,MA,27406110,9,ACTIVE,BUILDING,24031,52,OWNED,1-Jan-74,Field Not In Use,Not Evaluated,Will Conform
MA0180,1,78 CENTER ST, ,PITTSFIELD,BERKSHIRE,MA,12016171,1,ACTIVE,BUILDING,17833,61,OWNED,1-Jan-77,Field Not In Use,Not Evaluated,Will Conform
MA0182,1,55 Broadway Street, ,CAMBRIDGE,MIDDLESEX,MA,2142, ,ACTIVE,BUILDING,314687,575,OWNED,1-Jan-70,Field Not In Use,Not Evaluated,Yes
MA0801,1,424 TRAPELO RD, ,WALTHAM,MIDDLESEX,MA,24526322,5,ACTIVE,BUILDING,0,0,OWNED,1-Jan-46,Field Not In Use,Not Evaluated,Will Conform
MA5386,1,34 MARKET ST, ,EVERETT,MIDDLESEX,MA,21495806,7,ACTIVE,BUILDING,2624,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5431,1,140 UNION ST, ,LYNN,ESSEX,MA,19011336,6,ACTIVE,BUILDING,9857,30,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5466,1,12 New England Executive Park, ,BURLINGTON,MIDDLESEX,MA,18035213,6,ACTIVE,BUILDING,81056,400,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5490,1,198 COLUMBIA ROAD, ,HANOVER,PLYMOUTH,MA,23392322,9,ACTIVE,BUILDING,7910,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5612,1,463 WEST ST, ,AMHERST,HAMPSHIRE,MA,10022946,2,ACTIVE,BUILDING,2664,21,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5632,1,1 Montvale Ave, ,STONEHAM,MIDDLESEX,MA,21803500,5,ACTIVE,BUILDING,66160,242,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5645,1,11 WOODS HOLE ROAD, ,FALMOUTH,BARNSTABLE,MA,25409998,9,ACTIVE,BUILDING,16339,10,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5646,1,270 COMMUNICATION WAY, ,HYANNIS,BARNSTABLE,MA,26011883,9,ACTIVE,BUILDING,900,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5649,1,639 GRANITE STREET, ,BRAINTREE,NORFOLK,MA,21845366,8,ACTIVE,BUILDING,4358,6,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5650,1,13 BRANCH STREET, ,METHUEN,ESSEX,MA,18441900,3,ACTIVE,BUILDING,6481,0,LEASED,1-Oct-10,Field Not In Use,Not Evaluated,Yes
MA5654,1,1 CONGRESS ST, ,BOSTON,SUFFOLK,MA,21142010,8,ACTIVE,STRUCTURE,0,257,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5663,1,15 NEW CHARDON ST, ,BOSTON,SUFFOLK,MA,21144711,8,ACTIVE,BUILDING,32879,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5671,1,10 MALCOLM X BOULEVARD,AKA 80 DUDLEY STREET,BOSTON,SUFFOLK,MA,21191775,7,ACTIVE,BUILDING,9242,23,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5672,1,973 IYANNOUGH ROAD, ,HYANNIS,BARNSTABLE,MA,26011869,9,ACTIVE,BUILDING,1248,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5673,1,20 INDUSTRIAL BOULEVARD, ,HYANNIS,BARNSTABLE,MA,26013112,9,ACTIVE,BUILDING,4600,43,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5675,1,850 PLEASANT STREET, ,NEW BEDFORD,BRISTOL,MA,27406664,9,ACTIVE,BUILDING,13202,26,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5676,1,259B NORTH STREET, ,HYANNIS,BARNSTABLE,MA,26013834,9,ACTIVE,BUILDING,6000,25,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5678,1,BUILDING 101,ONE FEDERAL STREET,SPRINGFIELD,HAMPDEN,MA,11051199,1,ACTIVE,BUILDING,742,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5681,1,446 MAIN ST, ,WORCESTER,WORCESTER,MA,16082359,2,ACTIVE,BUILDING,15215,30,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5682,1,88 BLACK FALCON AVE, ,BOSTON,SUFFOLK,MA,22102425,8,ACTIVE,BUILDING,6841,39,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5683,1,70 EVERETT AVE, ,CHELSEA,SUFFOLK,MA,21502376,7,ACTIVE,BUILDING,2125,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5771,1,300 Westgate Center Dr, ,HADLEY,HAMPSHIRE,MA,10359587,2,ACTIVE,BUILDING,62800,285,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5775,1,156 WORC. PROV. TPK., ,SUTTON,WORCESTER,MA,15902984,2,ACTIVE,BUILDING,2870,16,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5780,1,1 Center Plz, ,BOSTON,SUFFOLK,MA,21081800,8,ACTIVE,BUILDING,0,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5785,1,120 FRONT ST, ,WORCESTER,WORCESTER,MA,16081413,2,ACTIVE,BUILDING,23366,27,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5786,1,99 SUMMER STREET, ,BOSTON,SUFFOLK,MA,21101213,7,ACTIVE,BUILDING,3120,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5790,1,439 S UNION ST, ,LAWRENCE,ESSEX,MA,18432810,3,ACTIVE,BUILDING,26923,121,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5793,1,1441 MAIN ST,10TH FLOOR,SPRINGFIELD,HAMPDEN,MA,11031406,1,ACTIVE,BUILDING,31897,52,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5794,1,CONTE DR, ,PITTSFIELD,BERKSHIRE,MA,12018298,1,ACTIVE,BUILDING,133443,0,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5809,1,90 MADISON ST, ,WORCESTER,WORCESTER,MA,16082058,2,ACTIVE,BUILDING,16500,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5813,1,900 CHELMSFORD ST, ,LOWELL,MIDDLESEX,MA,18518100,3,ACTIVE,BUILDING,30844,119,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5819,1,1 BATTERY MARCH PARK, ,QUINCY,NORFOLK,MA,21697448,8,ACTIVE,BUILDING,2600,4,LEASED,0,Field Not In Use,Not Evaluated,No
MA5826,1,104 DEAN STREET, ,TAUNTON,BRISTOL,MA,27802714,4,ACTIVE,BUILDING,11086,73,LEASED,1-Apr-09,Field Not In Use,Not Evaluated,Will Conform
MA5828,1,10 GEORGE STREET, ,LOWELL,MIDDLESEX,MA,18522293,3,ACTIVE,BUILDING,1006,2,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5829,1,1441 MAIN ST, ,SPRINGFIELD,HAMPDEN,MA,11031406,1,ACTIVE,BUILDING,11262,21,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5831,1,325 CHELMSFORD ST, ,LOWELL,MIDDLESEX,MA,18514429,3,ACTIVE,BUILDING,3900,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5832,1,59 Lowes Way, ,LOWELL,MIDDLESEX,MA,18515018,3,ACTIVE,BUILDING,23401,80,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5834,1,696 VIRGINIA RD,"CONCORD,MA 01742",CONCORD,MIDDLESEX,MA,17422718,3,ACTIVE,BUILDING,97256,387,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5835,1,411 WAVERLEY OAKS RD, ,WALTHAM,MIDDLESEX,MA,24528405,5,ACTIVE,BUILDING,2155,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5837,1,1250 HANCOCK ST, ,QUINCY,NORFOLK,MA,21694339,8,ACTIVE,BUILDING,10883,37,LEASED,1-Aug-85,Field Not In Use,Not Evaluated,Yes
MA5842,1,10 BEARFOOT ROAD, ,NORTHBOROUGH,WORCESTER,MA,15321994,2,ACTIVE,BUILDING,20874,89,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5844,1,221 N BEACON ST, ,BRIGHTON,SUFFOLK,MA,21351943,7,ACTIVE,BUILDING,7302,17,LEASED,1-Jan-10,Field Not In Use,Evaluated - Not Historic,Yes
MA5845,1,106 PLEASANT STREET, ,ATTLEBORO,BRISTOL,MA,27032359,4,ACTIVE,BUILDING,7285,1,LEASED,1-Jan-99,Field Not In Use,Not Evaluated,Yes
MA5847,1,1 PROGRESS WAY, ,WILMINGTON,MIDDLESEX,MA,18874611,6,ACTIVE,BUILDING,49950,95,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5851,1,DRUM HILL TECH PARK, ,CHELMSFORD,MIDDLESEX,MA,18241517,3,ACTIVE,BUILDING,49262,140,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5861,1,101 CUMMINGS CTR,SUITE 422A,BEVERLY,ESSEX,MA,19156115,6,ACTIVE,BUILDING,1041,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5863,1,Park St,118 TURNPIKE ROAD,SOUTHBOROUGH,WORCESTER,MA,17721660,5,ACTIVE,BUILDING,9190,0,LEASED,1-Oct-85,Field Not In Use,Not Evaluated,Yes
MA5866,1,151 WARREN STREET, ,LOWELL,MIDDLESEX,MA,18522647,3,ACTIVE,BUILDING,11128,23,LEASED,1-Dec-99,Field Not In Use,Not Evaluated,Yes
MA5867,1,210 HIGH ST,2ND FLOOR,HOLYOKE,HAMPDEN,MA,10406507,1,ACTIVE,BUILDING,10450,1,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5868,1,160-180 Second Street, ,CHELSEA,SUFFOLK,MA,21501803,7,ACTIVE,BUILDING,20385,4,LEASED,1-Aug-09,Field Not In Use,Not Evaluated,Yes
MA5869,1,48 RESEARCH RD,FALMOUTH TECH. PARK,EAST FALMOUTH,BARNSTABLE,MA,25364440,9,ACTIVE,BUILDING,4200,1,LEASED,25-May-01,Field Not In Use,Not Evaluated,Yes
MA5871,1,480 BARNSTABLE RD, ,HYANNIS,BARNSTABLE,MA,26012900,9,ACTIVE,BUILDING,1112,4,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5874,1,14 AIRPORT ROAD, ,NANTUCKET,NANTUCKET,MA,25542894,9,ACTIVE,BUILDING,530,1,LEASED,5-May-08,Field Not In Use,Not Evaluated,Yes
MA5876,1,1 Edgewater Dr, ,NORWOOD,NORFOLK,MA,20624691,8,ACTIVE,BUILDING,5592,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5881,1,99 HIGH ST, ,BOSTON,SUFFOLK,MA,21102320,8,ACTIVE,BUILDING,63253,8,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5883,1,97 COMMERCE WAY,NORTH EAST JET CENTER,NORTH ANDOVER,ESSEX,MA,18451049,6,ACTIVE,BUILDING,2464,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5890,1,70 BOND STREET, ,SPRINGFIELD,HAMPDEN,MA,11043402,1,ACTIVE,BUILDING,19000,85,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5891,1,364 UNIVERSITY AVE, ,WESTWOOD,NORFOLK,MA,20902311,8,ACTIVE,BUILDING,1718,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5893,1,115-117 FREEPORT STREET, ,BOSTON,SUFFOLK,MA,21222829,7,ACTIVE,BUILDING,7196,35,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5897,1,222 WEST CUMMINGS PARK, ,WOBURN,MIDDLESEX,MA,18016346,5,ACTIVE,BUILDING,4237,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5900,1,10 NEW ENGLAND EXECUTIVE PARK, ,BURLINGTON,MIDDLESEX,MA,18305214,6,ACTIVE,BUILDING,38386,126,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5902,1,155 W ELM ST, ,BROCKTON,PLYMOUTH,MA,23014326,8,ACTIVE,BUILDING,1283,0,LEASED,1-Dec-07,Field Not In Use,Not Evaluated,Yes
MA5905,1,45-47 SPRUCE STREET, ,CHELSEA,SUFFOLK,MA,21502345,7,ACTIVE,BUILDING,7480,6,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5907,1,2 DEBUSH AVENUE,BUILDING B UNITS 7 & 8,MIDDLETON,ESSEX,MA,19491602,6,ACTIVE,BUILDING,8000,5,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5908,1,CHRISTY DRIVE, ,BROCKTON,PLYMOUTH,MA,23011843,8,ACTIVE,BUILDING,12500,63,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5912,1,RR1 BOX 850, ,VINEYARD HAVEN,DUKES,MA,25688104,9,ACTIVE,BUILDING,400,0,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5915,1,1 CLARKS HL, ,FRAMINGHAM,MIDDLESEX,MA,17028172,5,ACTIVE,BUILDING,15000,1,LEASED,0,Field Not In Use,Not Evaluated,Will Conform
MA5917,1,30 RIVERSIDE DR, ,LAKEVILLE,PLYMOUTH,MA,23473629,4,ACTIVE,BUILDING,7151,19,LEASED,5-May-08,Field Not In Use,Not Evaluated,Yes
MA5918,1,10 FEDERAL STREET, ,SALEM,ESSEX,MA,19703860,6,ACTIVE,BUILDING,8140,9,LEASED,0,Field Not In Use,Not Evaluated,Yes
MA5924,1,201 MAPLE ST, ,CHELSEA,SUFFOLK,MA,2150,7,ACTIVE,BUILDING,200600,400,LEASED,14-Oct-16,Field Not In Use,Not Evaluated,Yes
